pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
0.863372,0.302653;10.0,0.812284,3.86809,1.61644,10.0,10.0,0.1,0.1,10.0,4.539
0.869472,0.302887;10.0,3.11277,0.787296,0.1,0.1,0.1,0.1,0.1,10.0,0.1
0.874826,0.302933;0.505314,0.1,0.1,0.739072,10.0,10.0,0.846954,0.1,3.59932,0.1
0.876677,0.30319;1.14412,0.1,10.0,0.1,0.1,10.0,10.0,6.94323,10.0,0.197187
0.88031,0.303116;0.1,0.107046,0.1,0.236544,1.41085,0.1,0.1,0.1,10.0,10.0
0.885777,0.304401;10.0,10.0,1.05122,0.1,0.26163,0.1,0.1,0.269098,0.1,0.1
0.893963,0.30306;2.6151,0.1,0.576327,1.06391,10.0,10.0,9.35141,4.26781,10.0,0.12689
0.897323,0.302091;10.0,0.1,0.1,5.38414,10.0,10.0,0.172025,0.363393,10.0,0.117258
0.901411,0.302795;5.75435,1.63154,6.50362,0.1,0.453557,5.1262,1.24634,0.264919,3.65912,1.82395
0.906,0.304399;2.6151,0.1,0.576327,0.635992,6.34134,10.0,10.0,0.1,10.0,1.11979
0.913156,0.300799;10.0,10.0,0.1,0.1,10.0,6.17529,10.0,0.1,10.0,10.0
0.916962,0.303147;0.236934,0.348793,0.1,2.00133,0.1,1.07303,0.1,0.1,3.2512,0.1
0.921678,0.299844;0.1,0.228786,0.1,2.79274,2.37475,10.0,0.1,0.410775,10.0,0.311252
0.927425,0.301115;4.75244,0.1,0.1,1.0954,10.0,10.0,0.130162,0.1,10.0,0.1
0.930097,0.301785;5.73764,0.397008,0.1,0.328882,9.27961,10.0,2.4372,0.20121,3.29867,0.1
0.936181,0.301379;2.69354,0.126795,10.0,0.947007,6.72867,0.1,0.840938,7.40045,4.48842,0.1
0.944518,0.303381;10.0,2.56325,6.81228,3.36755,2.27467,2.974,0.1,0.496391,10.0,6.87807
0.948465,0.301889;10.0,0.264402,10.0,0.174859,8.3843,0.385741,0.591384,10.0,10.0,0.11942
0.951213,0.300687;7.73245,0.379007,7.81176,0.10241,0.1,3.78189,0.1,0.47849,1.47822,0.129155
0.955881,0.303597;6.36769,0.1,0.1,0.15438,8.48093,10.0,0.1,0.1,10.0,0.1
0.963385,0.302539;0.1,0.1,0.1,0.1,10.0,0.1,0.1,9.51631,10.0,10.0
0.968547,0.300891;10.0,0.135412,10.0,0.11502,0.462773,10.0,0.1,0.129954,9.34462,1.299
0.974235,0.303416;3.16259,0.1,0.262081,0.1,4.76682,10.0,10.0,0.1,10.0,0.1
0.978761,0.303588;10.0,0.437662,0.726011,0.140911,10.0,0.1,1.79617,10.0,10.0,0.137522
0.982376,0.305027;10.0,0.138043,0.103861,0.154195,0.1,9.11598,10.0,0.1,3.97903,0.1
0.987289,0.304673;2.86378,0.1,0.1,0.767657,0.153481,0.1,0.1,0.1,0.210827,0.1
0.993391,0.302906;5.65241,0.315662,1.70892,0.315477,10.0,0.1,0.1,10.0,10.0,0.1
0.997397,0.304043;10.0,0.1,0.1,0.1,0.617304,10.0,10.0,1.30756,10.0,0.104288
1.00087,0.304881;10.0,0.313469,0.217997,0.1,0.1,0.387965,0.1,0.325647,0.555873,0.1
1.00932,0.300824;10.0,0.1,6.52035,1.09459,0.1,10.0,0.129512,0.1,10.0,0.167512
1.01432,0.300158;6.10208,0.338917,0.46314,0.16709,0.179462,5.87715,10.0,2.9903,4.61192,0.138089
1.01564,0.303107;10.0,0.271656,10.0,0.78397,0.659513,10.0,0.1,2.34822,10.0,0.1
