pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en,fd,fn,gd,gn
1.07781,0.304249;8.97673,0.442173,1.42014,0.134204,10.0,4.02599,0.1,1.5296,0.442516,3.5461,0.263505,0.1,9.59044,1.43473
1.0834,0.302678;10.0,0.1,0.1,0.971753,0.393049,0.103181,10.0,10.0,0.265501,0.1,6.25325,0.158476,10.0,0.183635
1.08976,0.301936;10.0,0.1,1.54125,0.119299,0.111711,10.0,0.209068,0.1,6.38918,0.1,10.0,0.155955,10.0,0.890373
1.09401,0.304139;3.57097,0.182226,1.27078,0.1,0.1,0.747587,1.95578,0.1,10.0,10.0,10.0,0.144533,8.29127,0.1
1.09932,0.300177;5.11847,0.339839,0.343901,0.1,10.0,4.77053,1.93596,10.0,10.0,0.1,0.526376,0.571508,10.0,0.1
1.10364,0.302133;10.0,1.10361,0.844507,1.54891,4.37966,0.1,10.0,10.0,0.109974,1.17927,0.1,0.263017,6.41118,0.60265
1.10809,0.301542;10.0,0.1,10.0,0.124546,0.1,10.0,0.162373,0.1,0.1,0.594063,1.71842,0.918453,10.0,0.189749
1.11299,0.302468;10.0,0.1,0.1,1.97933,10.0,0.1,0.1,10.0,2.3148,1.51549,10.0,1.58919,10.0,0.427162
1.11839,0.303274;10.0,0.326117,0.111522,0.106349,4.44938,10.0,0.313109,0.389795,0.18707,0.1,10.0,0.438993,7.5712,0.1
1.1208,0.302086;1.29244,0.1,0.1,0.1,3.32917,0.16986,0.1,0.1,8.27693,10.0,10.0,1.22557,10.0,0.1
1.1269,0.300327;10.0,0.244697,10.0,0.1,0.1,10.0,0.1,1.9418,0.1,0.1,2.82913,0.1,10.0,0.1
1.12974,0.30059;10.0,0.317416,0.1,0.1,0.1,10.0,0.532851,1.15268,10.0,0.131621,10.0,0.1,10.0,0.1
1.13688,0.302944;10.0,0.211527,8.62521,3.08048,10.0,10.0,0.117753,0.1,1.97745,7.19796,0.1,0.1,10.0,0.1
1.14403,0.300545;9.9929,0.1,0.965457,6.37947,0.1,0.180292,10.0,9.7391,0.1,0.101152,5.20933,0.126145,7.99326,0.1
1.14539,0.303599;2.88831,0.1,0.207466,0.1,0.100491,2.50161,0.1,0.1,2.6284,1.12211,0.1,0.1,8.5405,0.160215
1.15256,0.300625;10.0,0.765365,10.0,1.63745,9.13977,0.1,10.0,10.0,0.1,10.0,9.91669,0.188257,7.22418,0.1
1.1568,0.302753;10.0,1.26669,0.612109,10.0,0.1,10.0,10.0,0.370071,10.0,0.151151,0.1,0.170095,7.94485,0.1
1.16406,0.303484;8.45652,0.1,0.1,6.48405,0.174058,0.1,3.31419,0.1,0.193772,0.1,6.09934,10.0,10.0,0.276341
1.16692,0.30081;0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,10.0,0.1,1.37671,0.1,6.54081,10.0
1.17154,0.304174;3.12976,0.517916,0.553885,0.1,0.1,0.1,0.1,0.439539,0.103682,3.06981,0.1,0.105014,10.0,1.07643
1.17899,0.30352;10.0,0.356633,10.0,4.04397,0.1,1.37255,3.42033,10.0,0.746427,0.1,4.03468,0.1,10.0,2.0324
1.18189,0.304092;10.0,0.522198,10.0,1.39316,10.0,10.0,10.0,0.283438,0.160968,0.278124,0.1,10.0,10.0,0.1
1.18515,0.30406;10.0,0.522198,10.0,1.39316,10.0,6.54102,10.0,0.1,2.53825,1.08709,0.256561,10.0,10.0,0.1
1.19058,0.302027;10.0,1.32236,5.30393,0.185735,10.0,10.0,3.24003,0.241561,0.106688,0.1,10.0,10.0,4.36448,0.1
1.19967,0.300432;0.67338,0.191877,0.1,0.187862,0.833905,0.1,0.156656,0.387665,10.0,10.0,4.65013,0.1,0.812629,0.159369
1.20435,0.302496;0.961238,0.812871,0.1,0.148451,2.18995,1.84208,0.119743,0.1,0.282583,0.922618,10.0,0.1,10.0,10.0
1.20755,0.300787;9.37705,10.0,0.160756,8.73577,0.1,10.0,2.52777,0.1,10.0,10.0,10.0,1.33921,6.45797,10.0
1.21068,0.302252;10.0,2.97764,2.44942,2.78389,0.104128,10.0,0.341529,0.1,0.1,0.23918,10.0,0.408196,5.96033,2.08877
1.21695,0.304683;8.90186,0.1,0.231251,5.56682,0.1,0.1,10.0,0.1,0.1,3.09938,3.65298,10.0,10.0,0.1
1.22458,0.301281;0.557392,0.1,1.0431,0.1,0.1,0.1,10.0,10.0,0.357427,0.255734,4.5691,0.165444,10.0,0.1
1.22793,0.300685;10.0,1.15337,0.107882,0.1,0.162138,0.122412,0.1,0.1,2.12313,10.0,10.0,0.1,10.0,0.207331
1.23084,0.300193;10.0,0.522198,8.41279,1.88813,10.0,6.54102,10.0,0.283438,0.158464,0.278124,0.1,10.0,10.0,0.1
